,length,diameter,propeller_diameter,LD_effective,S_wetted,volume,mass_total,mass_payload,mass_structural,mass_propulsion,power,solar_area_fraction,mass_battery,BATTERY_SPECIFIC_ENERGY,S_solar,score
347,100.00000099998994,14.600515584624986,23.84696703394355,79.2304788715859,3611.0753775919065,11161.81990786592,11830.863610755805,30.0,538.9244916157689,11249.562951959273,25592.028545665944,1.3838731372889919,10236.811418266378,225.0,1586.9175281062394,-0.0
397,100.00000099999222,10.707613448335902,20.336637778774644,45.68757386954579,2633.6755389725276,6003.2163562410105,6363.051413007355,30.0,393.055282016342,5927.078166948138,27811.649303871545,2.050660753895523,4944.293209577164,225.0,1724.5523811097712,-0.0
424,100.00000099999602,8.822677251007075,19.132426371013516,33.72666881334705,2165.054994038111,4075.6737397764823,4319.971163767554,30.0,323.11736532076145,3954.037877296117,27386.763311245217,2.4507560086397175,3042.973701249469,225.0,1698.2059338970225,-0.0
326,100.00000100001914,17.118129823077677,26.033200845013006,105.35850401803171,4250.976767384464,15343.034376721951,16262.701654800918,30.0,634.4247221892309,15586.234272597636,24270.268475130175,1.1193812412622233,14562.161085078105,225.0,1504.957466982465,-0.0
449,100.00000100002342,9.154485882610889,28.377746591613803,34.887946305749416,2247.3488192308846,4387.999255365016,20751.23212735934,30.0,335.3990690426893,20372.780108551346,28378.573850260746,2.4474643078913885,18919.04923350716,225.0,1759.7063939373734,-0.0
448,100.00000100003365,9.34817605024378,27.836229850324017,35.561074053619066,2295.425129948321,4575.645732526148,20569.037038450108,30.0,342.57407886744517,20183.25581475835,29032.960200632264,2.452021060223981,18710.129907074122,225.0,1800.2837623044422,-0.0
447,100.00000100004213,9.551761045677448,27.29026308433042,36.26474366675444,2345.9881800571216,4777.113118704793,20382.555087218643,30.0,350.1202149142091,19989.06654515139,29724.729260956297,2.456938118580883,18495.38709570614,225.0,1843.1791680074696,-0.0
372,100.0000010000466,13.527710140839158,21.449338091216283,64.13559381401886,3340.3340792529098,9581.802274433836,10156.13912335249,30.0,498.51849026997627,9614.328882220958,29395.09113216692,1.715577263170794,8491.915215959332,225.0,1822.7388764700252,-0.0
348,100.00000100005056,15.514315793037735,23.395883351633685,83.14141805044449,3842.5815261664206,12602.708208806416,13358.119300918192,30.0,573.4749566103948,12741.789994038516,27546.40209723768,1.4018192364943132,11630.703107722575,225.0,1708.1048595411933,-0.0
446,100.00000100005788,9.76573698672731,26.739877594511253,37.00002039366593,2399.166330343065,4993.541618152318,20190.796912818147,30.0,358.0566340168839,19789.203464888575,30456.287722038935,2.4622474874844342,18273.77263322336,225.0,1888.541845790316,-0.0
398,100.00000100006756,11.95073401520762,19.702394283209863,50.302121682397555,2944.3118479481327,7478.040065652341,7926.276612845538,30.0,439.4152987390381,7443.090284851525,31487.555223490705,2.0801953516646856,6297.511044698142,225.0,1952.4889639837777,-0.0
445,100.00000100007243,9.990624057911626,26.185044489571993,37.767962838269895,2455.0946221879176,5226.17394752071,19992.670149338683,30.0,366.403490035582,19582.553717851577,31230.237807751222,2.467984536069266,18044.13740003404,225.0,1936.5331550647875,-0.0
425,100.00000100007762,10.263351688228424,18.331259170532597,38.692528202160155,2522.9742652138802,5515.400426954072,5845.995612596747,30.0,376.5339908652884,5425.50202743689,32329.91441327472,2.4869960983883845,4310.6552551032955,225.0,2004.7222037539016,-0.0
327,100.00000100008452,17.920022411238683,25.638679308638277,108.92915364682338,4456.203017658687,16814.181209849005,17822.0295850047,30.0,665.0531198354196,17114.56535367211,25732.486547036635,1.1337125803236947,16011.324962600573,225.0,1595.6270863946802,-0.0
444,100.00000100008913,10.226963463723237,25.625719300582958,38.569601138047254,2513.914108306002,5476.3605778563415,19786.963220266938,30.0,375.18183397434206,19367.8843221214,32049.384475233775,2.474188298395225,17805.213597352096,225.0,1987.3270263828947,-0.0
419,100.00000100009207,12.138723283184198,26.039394742799853,50.983249989339264,2991.403365101015,7715.154886008443,23347.129014947877,30.0,446.4433358989704,22856.8194050202,31911.685733898034,2.0755657474965234,21274.45715593202,225.0,1978.7885650477983,-0.0
367,100.00000100010374,10.07626330773363,198.19346526699036,49.672454609983774,2476.4031489989284,5316.155088125435,28432.71880737408,30.0,369.58361943691375,28021.9800099087,20918.808315513324,1.6390688342653208,3718.8992560912575,225.0,1297.1392058174504,-0.0
443,100.00000100010848,10.475323180731255,25.061821758877404,39.40594384061839,2575.7733821659153,5745.574862795266,19572.34456250846,30.0,384.4138422352458,19143.84115957338,32916.776342087454,2.480902095796008,17555.61404911331,225.0,2041.1124992613238,-0.0
418,100.00000100011133,12.361703146899377,25.584927684064652,51.785300847096806,3047.3006500921415,8001.202227406175,23102.35461323209,30.0,454.78556438954087,22603.552110993078,32588.2176154044,2.081335335275749,21001.295796593946,225.0,2020.739139585859,-0.0
442,100.00000100013126,10.736297756297953,24.49327072734164,40.27796271150542,2640.8286404509468,6035.423113760143,19347.34978072497,30.0,394.1228259401423,18908.936119146438,33835.729532996505,2.4881740543025126,17293.81731686488,225.0,2098.0952008693876,-0.0
417,100.0000010001336,12.592548505509978,25.127372190762646,52.60887612501102,3105.2165552336196,8302.825136361891,22846.880001979705,30.0,463.42905600107633,22339.27836555531,33294.32969626902,2.087451545546532,20716.471811011834,225.0,2064.5239312420645,-0.0
349,100.00000100014364,16.474142840314293,22.949291402569354,87.07330485306112,4086.6665803772935,14210.333850618486,15062.106631170336,30.0,609.9027239640975,14408.84743102384,29673.597792520108,1.422090183181038,13188.265685564493,225.0,1840.0085938830143,-0.0
373,100.0000010001491,14.641770803212985,20.937208074204396,68.4204045316377,3621.5091944356955,11224.986703375145,11897.816647869251,30.0,540.4816564074662,11313.381196114182,32303.84863420914,1.7418887820239648,10050.086241753954,225.0,2003.105909773567,-0.0
441,100.00000100015869,11.010514673310208,23.91989700648785,41.186597636683736,2709.24539680711,6347.663071204331,19110.372745446795,30.0,404.3334866940126,18661.537931564028,34809.88092725123,2.4960580283413147,17018.16400887838,225.0,2158.500647816021,-0.0
416,100.00000100015973,12.831563248132003,24.666552819057223,53.45426000062985,3165.2328378595225,8621.002372433251,22579.778212900324,30.0,472.38601237023477,22063.058779891853,34031.73034597164,2.0939399475983276,20419.038207582984,225.0,2110.248873059863,-0.0
328,100.00000100018971,18.7641654998845,25.24041291449575,112.51746768608812,4673.012882293929,18435.594039606487,19540.630512483684,30.0,697.4102804754033,18800.41925210379,27324.817195200878,1.1497085744599767,17609.326636907233,225.0,1694.364762136314,-0.0
415,100.00000100019106,13.079066513918782,24.20228645442992,54.32171068903978,3227.4356379025176,8956.784463368705,22300.054763284836,30.0,481.66928920191464,21773.885779698317,34802.27275047055,2.1008285840735414,20107.979811382982,225.0,2158.0288779026414,-0.0
440,100.00000100019241,11.29863886302239,23.341510272902728,42.13275255584326,2781.1997560270493,6684.222250856515,18859.6594407773,30.0,415.0721067468579,18399.86582063874,35843.23937719053,2.504614468236712,16726.845042688914,225.0,2222.5774221170204,-0.0
399,100.00000100020418,13.26070238640263,19.111183198981568,54.95310518751666,3273.1205709956457,9207.2870480494,9759.175312791833,30.0,488.4874047955396,9226.033508591925,35526.71314092901,2.115184527862531,7894.825142428669,225.0,2202.9501764091387,-0.0
414,100.00000100022952,13.335395482887138,23.734357363066795,55.211462056853634,3291.916237429399,9311.302297046403,22006.64292335239,30.0,491.29250962393706,21470.678755938094,35607.97795351127,2.1081483671369745,19782.209974172925,225.0,2207.989267205515,-0.0
439,100.00000100023527,11.601376612194755,22.75769065335745,43.11728645147174,2856.8795605971955,7047.217532671016,18593.277272206804,30.0,426.3667201068109,18121.95863232947,36940.24822165154,2.513911842763756,16417.888098511798,225.0,2290.6010475461803,-0.0
426,100.0000010002427,11.785056095944249,17.632824381226218,43.70976202568713,2902.83505854793,7272.135037907274,7708.029559940569,30.0,433.2252153693953,7229.676469639835,37788.798533529596,2.531577283059317,5878.257549660159,225.0,2343.2181881138567,-0.0
